R1507	Teprotumumab
folinic acid	Leucovorin
fluorouracilum	Fluorouracil
irinotecan	Irinotecan
Thalidomide	Thalidomide
5fluorouracil+oxaciplatina+l-folinian discido	Oxaliplatin	Leucovorin	Fluorouracil
ET-743	Trabectedin
Ovarex/IND	Oregovomab
Docetaxel +/- Zactima	Docetaxel	Vandetanib
Enzastaurin	Enzastaurin
Iressa	Gefitinib
Capecitabin	Capecitabine
PS-341 Bortrezomib	Bortezomib
Erlotonib	Erlotinib
Adriamyicin	Doxorubicin
Ras Inhibitor	NOS
Reolysin	Reolysin
Pemetrexed (Alimta)	Pemetrexed
Adriamycin	Doxorubicin
Cisplatnin	Cisplatin
DOXORUBICIN	Doxorubicin
IL-2 (high dose)	Aldesleukin
Leucovorin	Leucovorin
Levothroid	Levothyroxine
Arimidex	Anastrozole
temsirolimus	Temsirolimus
Motexafin Gadolinium	Motexafin gadolinium
Axitinib	Axitinib
tc	Docetaxel	Cyclophosphamide
5F4 Leucovorin	Fluorouracil	Leucovorin
Bevacizumab or placebo	Bevacizumab
Gemicitabine	Gemcitabine
Vinorelbine Tartrate	Vinorelbine
Sutent	Sunitinib
Floxuridine	Fluorouracil
Fotemustine	Fotemustine
mitotane	Mitotane
Sutent (Sunitinib)	Sunitinib
Gemox	Gemcitabine	Oxaliplatin
raloxifene	Raloxifene
Dabrafenib	Dabrafenib
FLC	NOS
Ixabepilone	Ixabepilone
5-FU+ etoposidium	Fluorouracil	Etoposide
PV-10	PV-10
ETOPOSIDE	Etoposide
Adriamycin (doxorubicin)	Doxorubicin
Tivantinib (ARQ-197)	Tivantinib
CRA	Isotretinoin
Doxorubicin HCl Liposomal	Doxorubicin
temodar	Temozolomide
Bicalutamide	Bicalutamide
Dexamethasome	Dexamethasone
VP 16 (Etoposide)	Etoposide
Temodor	Temozolomide
Hyrdroxyurea	Hydroxyurea
Bevacizumab Avastin	Bevacizumab
cis retinoic acid	Isotretinoin
Gliadel BCNU	Carmustine
Temoxolomide	Temozolomide
Carboplatin, Taxol	Carboplatin	Paclitaxel
Dendriticcell Vaccine	Dendritic cells vaccine
Dendritic Cell Vaccine (dcvax)	Dendritic cells vaccine
dcVax	Dendritic cells vaccine
AE 788	AEE-788
Gliadel Waters	Carmustine
Dexaethasone	Dexamethasone
Temador	Temozolomide
Sovatenib	Sorafenib
Dexamethsone	Dexamethasone
Phenytoin Sodium	Phenytoin
Adriamycin, cytoxan, avastin	Doxorubicin	Cyclophosphamide
cyclophosphamide, vincristine, and dacarbazine	Dacarbazine	Vincristine	Cyclophosphamide
6 Thioguanine	Tioguanine
Cisplatain	Cisplatin
Hydroxyuerea	Hydroxyurea
Procarbazine/CCNU/Vincristine	Lomustine	Vincristine	Procarbazine
Lomustine CCNU	Lomustine
Arsenic Tnoxide	Arsenic trioxide
Reinoid/CIS retinoic acid	Tretinoin
Carboxy amido triazole	Carboxyamidotriazole
Oxaliplatin, Folinic acid, Fluorouracil	Oxaliplatin	Leucovorin	Fluorouracil
Dexmethasone	Dexamethasone
Cisplatin, pemetrexed	Cisplatin	Pemetrexed
Cilenaitide	Cilengitide
Bevacozimab	Bevacizumab
Gliadel wafer carmustine	Carmustine
Cedicanib	Cediranib
ICT-107	SOT-107
Hydrochoroquine	Hydroxychloroquine
Rapamcyin	Sirolimus
Vatalanib (PTK787)	Vatalanib
Calcium Foliatum, fluorouracilum, oxaliplatinum, dexamethassone	Oxaliplatin	Fluorouracil	Dexamethasone
CCNG	Lomustine
XL184	XL784
Hydroxurea	Hydroxyurea
Gliadel wafer	Carmustine
Hyroxyurea	Hydroxyurea
Temozolomode	Temozolomide
Metronomic Temodar	Temozolomide
Lumustine	Lomustine
Erlotinib (Tarceva)	Erlotinib
Cis-retinoic acid	Tretinoin
ABTC 0603 Hydroxychloroquine	Hydroxychloroquine
Tarveca	Erlotinib
Bevacizumab or placebo RTOG 0825	Bevacizumab
Arsenic Trioxide (ATO)	Arsenic trioxide
Cytoxan, vincristine and dacarbazine	Dacarbazine	Vincristine	Cyclophosphamide
Tipifarnib (R115777)	Tipifarnib
Cediranib/Placebo	Cediranib
Metexafin Gadolinium	Motexafin gadolinium
dc Vax (Dendritic Cell Vaccine)	Dendritic cells vaccine
9 immunoamino camptnetecin	Cyclic adenosine monophosphate
DTIC, Dacarbazine	Acridine Carboxamide	Dacarbazine
Dexamthasone	Dexamethasone
Temodar (escalation)	Temozolomide
Temozolomoide	Temozolomide
Motexatin Gadoinium	Motexafin gadolinium
Dexamethazone	Dexamethasone
Everolimus, Gemcitabine, and Cisplatin	Cisplatin	Everolimus	Gemcitabine
9AC 9 Aminocamplotecian	Cyclic adenosine monophosphate
Gliadel Wafer (BCNU)	Carmustine
Levenracetam	Levetiracetam
Thalomid	Thalidomide
Bevcizumab	Bevacizumab
XL 184	Cabozantinib
Vp 16	Etoposide
Tipfarnib (R115777)	Tipifarnib
Recentin Placebo AXDX2171	Cediranib
Rad001	Everolimus
PS341	Bortezomib
PS 341	Bortezomib
OS1-774	Erlotinib
O6BG	O6-Benzylguanine
O6B6	O6-Benzylguanine
MU81C6	81C6
mu81c6	81C6
LY317615	Enzastaurin
Irintocean	Irinotecan
Gliadle Wafer	Carmustine
Gleevac	Imatinib
ch81c6	81C6
Celbrex	Celecoxib
BIBW2992	Afatinib
BIBW 2992	Afatinib
ARIAD AP23573	Ridaforolimus
anti neopastons	Antineoplastons
Accutane	Isotretinoin
Acctuane	Isotretinoin
ABT-888 Parp Inhibitor	Veliparib
81c6	81C6
81C6	81C6
06GB	O6-Benzylguanine
06-BG (NABTT 0803)	O6-Benzylguanine
06-BG	O6-Benzylguanine
06BG	O6-Benzylguanine
